fht1,fht2,fht3,fht4,fht5,fht6,fht7,fht8,set9,set10,kmsi1,kmsi2,kmsi3,kmsi4,kmsi5,kmsi6,kmsi7,kmsi8,ust,spending_sum,spending_mean,saving_sum,saving_mean,paying_off_sum,paying_off_mean,planning_sum,planning_mean,debt_sum,debt_mean,avoidance_sum,avoidance_mean,worship_sum,worship_mean,status_sum,status_mean,vigilance_sum,vigilance_mean,spending_to_saving_ratio,debt_to_paying_off_ratio,avoidance_to_vigilance_ratio,worship_to_status_ratio,spending_avoidance_interaction,saving_planning_interaction,debt_vigilance_interaction,paying_off_worship_interaction
1.195,1.061,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,-1.987,1.354,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,1.654,1.654,0.863,0.863,0.686,0.686,-0.874,-0.874,-2.16,-2.16,1.298,1.298,0.0,0.0,0.0,0.0,-1.475,-1.475,0.007,-2.023,0.21,2.763,1.837,0.213,-1.872,0.6
-0.837,1.061,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,-0.518,1.354,0.645,0.0,0.0,0.0,0.0,1.354,0.0,0,0.174,0.174,0.863,0.863,0.686,0.686,0.777,0.777,-0.849,-0.849,1.298,1.298,0.0,0.0,0.0,0.0,1.164,1.164,-0.629,-0.999,0.21,-0.716,1.132,1.05,0.378,0.6
1.195,-0.943,-0.874,-1.195,0.0,0.0,-1.549,0.0,-0.645,-0.518,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,1,0.174,0.174,-1.093,-1.093,0.686,0.686,-0.874,-0.874,-0.849,-0.849,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,0.963,-0.999,0.21,1.023,-0.041,-1.181,-0.586,0.6
1.195,-0.943,-0.874,0.837,0.0,0.0,-1.549,0.0,-0.645,0.95,-0.739,-1.549,0.0,0.0,0.0,0.0,1.354,0.0,0,0.174,0.174,-0.115,-0.115,-0.981,-0.981,-0.874,-0.874,0.463,0.463,-1.46,-1.46,0.0,0.0,0.0,0.0,1.164,1.164,0.007,0.843,-1.375,1.023,-1.215,-0.484,1.343,0.6
1.195,-0.943,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,0.95,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,0.174,0.174,0.863,0.863,0.686,0.686,0.777,0.777,0.463,0.463,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,-0.629,0.024,0.21,-0.716,-0.041,1.05,0.057,0.6
-0.837,-0.943,0.777,0.837,0.0,0.0,0.645,0.0,1.549,0.95,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,-1.306,-1.306,0.863,0.863,0.686,0.686,0.777,0.777,1.774,1.774,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,-1.266,1.048,0.21,1.023,-0.511,1.05,0.7,0.6
-0.837,-0.943,-0.874,-1.195,0.0,0.0,0.645,0.0,1.549,0.95,1.354,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,1,-1.306,-1.306,-1.093,-1.093,0.686,0.686,0.777,0.777,1.774,1.774,1.298,1.298,0.0,0.0,0.0,0.0,-0.155,-0.155,0.007,1.048,1.399,-0.716,0.428,-0.623,0.7,0.6
-0.837,1.061,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,0.95,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,0.174,0.174,0.863,0.863,0.686,0.686,0.777,0.777,0.463,0.463,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,-0.629,0.024,0.21,-0.716,-0.041,1.05,0.057,0.6
-0.837,1.061,0.777,0.837,0.0,0.0,-1.549,0.0,1.549,-0.518,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,0.174,0.174,0.863,0.863,0.686,0.686,-0.874,-0.874,0.463,0.463,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,-0.629,0.024,0.21,0.153,-0.041,0.213,0.057,0.6
1.195,1.061,-0.874,-1.195,0.0,0.0,0.645,0.0,1.549,-0.518,1.354,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,1.654,1.654,-1.093,-1.093,-0.981,-0.981,0.777,0.777,0.463,0.463,1.298,1.298,0.0,0.0,0.0,0.0,-1.475,-1.475,1.918,0.843,0.21,-0.716,1.837,-0.623,-1.229,-1.1
-0.837,1.061,0.777,0.837,0.0,0.0,0.645,0.0,1.549,-1.987,-0.739,-1.549,0.0,0.0,0.0,0.0,1.354,0.0,0,0.174,0.174,0.863,0.863,-0.981,-0.981,0.777,0.777,-0.849,-0.849,-1.46,-1.46,0.0,0.0,0.0,0.0,1.164,1.164,-0.629,-0.385,-1.375,-0.716,-1.215,1.05,0.378,-1.1
1.195,-0.943,-0.874,-1.195,0.0,0.0,-1.549,0.0,-0.645,0.95,-0.739,-1.549,0.0,0.0,0.0,0.0,1.354,0.0,1,0.174,0.174,-1.093,-1.093,-2.648,-2.648,-2.525,-2.525,0.463,0.463,-1.46,-1.46,0.0,0.0,0.0,0.0,1.164,1.164,0.963,2.071,-1.375,-0.716,-1.215,-1.739,1.343,-2.8
-0.837,-0.943,0.777,-1.195,0.0,0.0,0.645,0.0,-0.645,-0.518,-0.739,-1.549,0.0,0.0,0.0,0.0,1.354,0.0,0,-1.306,-1.306,-0.115,-0.115,0.686,0.686,-0.874,-0.874,-0.849,-0.849,-1.46,-1.46,0.0,0.0,0.0,0.0,1.164,1.164,-0.757,-0.999,-1.375,-0.716,-1.45,-0.484,0.378,0.6
1.195,1.061,-0.874,-1.195,0.0,0.0,-1.549,0.0,-0.645,0.95,1.354,-1.549,0.0,0.0,0.0,0.0,1.354,0.0,1,1.654,1.654,-1.093,-1.093,-0.981,-0.981,-0.874,-0.874,0.463,0.463,-0.081,-0.081,0.0,0.0,0.0,0.0,1.164,1.164,1.918,0.843,-0.583,-0.716,0.428,-1.181,1.343,-1.1
-0.837,1.061,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,-0.518,1.354,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,0.174,0.174,0.863,0.863,0.686,0.686,0.777,0.777,-0.849,-0.849,1.298,1.298,0.0,0.0,0.0,0.0,-1.475,-1.475,-0.629,-0.999,0.21,-0.716,1.132,1.05,-1.551,0.6
-0.837,-0.943,0.777,0.837,0.0,0.0,0.645,0.0,-0.645,0.95,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,-1.306,-1.306,0.863,0.863,0.686,0.686,0.777,0.777,0.463,0.463,-0.081,-0.081,0.0,0.0,0.0,0.0,-0.155,-0.155,-1.266,0.024,0.21,1.023,-0.511,1.05,0.057,0.6
-0.837,-0.943,-2.525,-1.195,0.0,0.0,0.645,0.0,-0.645,-0.518,-0.739,0.645,0.0,0.0,0.0,0.0,-0.739,0.0,0,-1.306,-1.306,-2.072,-2.072,-0.981,-0.981,0.777,0.777,-0.849,-0.849,-0.081,-0.081,0.0,0.0,0.0,0.0,-1.475,-1.475,1.281,-0.385,2.588,0.153,-0.511,-1.46,-1.551,-1.1
